,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
36111,30.45951813180809,296.1629500799081,0.9930340989213172,120.67169962145587,855.7735380370857
13162,34.257700117333385,289.38082074943145,0.9815923023004236,191.69265258486234,858.885520512081
357097,44.06326989228931,283.07070927207883,0.9977417331110496,186.73487031407035,828.3431337323711
307917,31.091747538219785,302.79432568327695,0.9989183385056788,194.78741365943137,820.2490709126093
310453,33.40022074929966,309.0146856665591,0.9976468305358828,369.720501100804,770.5737462761357
126479,34.70959328321544,285.45024703930096,0.9648095888175382,114.25401517870375,877.0213093051764
49095,35.83212061766392,304.5208303107576,0.9799951133633611,200.12567054363373,767.8481876630962
240444,35.5727542238004,282.8254909082354,0.9780024009855947,97.93223328163245,885.6345466410352
168257,33.16777449830661,298.18910403114626,0.9983634263872674,191.1123335609313,822.5906921781238
244459,32.11501474042598,305.8471611549389,0.9946832404335367,392.1629281913653,797.0300219249418
118068,37.115462703126795,309.3592671538994,0.9999480264170465,110.15737631729193,733.0259307195429
153963,43.89670427088833,291.2961575320267,0.981355814532725,107.38218407546016,778.3094883905662
42938,31.660090502103976,313.68515402982644,0.9690636891702809,98.63706375518754,770.3688360130766
134730,41.394755647151484,305.08931830949166,0.9741807730304379,100.00383934174211,716.9323391836479
318882,32.94103456758036,314.75037795917257,0.9699631979708813,167.60807418111622,752.6012451538435
364590,32.581884719306316,276.6801586824141,0.9985686475569425,233.77851985753185,939.696351408325
14448,31.0382612384547,31.01306335693146,0.984100273546189,155.04466653000705,868.9588739813478
227954,44.00456437234485,12.478277870568524,0.9698019639076565,67.80556370210499,639.3182443002047
103296,31.308942815728567,16.26025207068613,0.9842819750371256,241.56581229547018,797.472282142797
326696,32.759779432372525,0.5910488586771812,0.9766979153693993,125.06765039624884,729.9547485236137
62938,35.61314551277671,30.10076191506359,0.9846808493047591,425.8183365287931,817.9838102668895
17189,32.01878903833279,8.890824575679009,0.986964359383134,251.3825712205776,762.682642115798
327487,30.33853055889218,8.110981561231089,0.9689688355729892,112.54603278878946,780.7329147273092
136675,35.646865057582914,37.21239369963852,0.9947484576429083,97.79335201332647,862.2296468714524
294475,33.731415797843525,22.896145544261437,0.9647562378667226,68.87593604944962,799.2896752887231
140774,34.208536776627426,5.058459395384391,0.9883943270871722,174.2777787574214,723.9327727301179
